#time,id,x[m],y[m],speed[m/s],heading,acc[m/s^2],lastX[pixel],lastY[pixel]
26.00,238,784.74,2.00,16.57,0.00,-0.02,809.34,517.73
26.00,239,772.46,0.00,16.69,0.00,0.09,760.14,533.20
26.00,240,760.79,1.00,16.71,0.00,0.15,774.19,570.27
26.00,241,746.03,2.00,16.58,0.00,-0.16,780.36,619.04
26.00,242,738.92,0.00,16.72,0.00,-0.06,730.24,617.76
26.00,243,727.06,1.00,16.79,0.00,0.09,733.73,657.70
26.00,244,714.48,2.00,16.67,0.00,-0.18,730.93,701.17
26.00,245,705.60,0.00,16.80,0.00,-0.02,679.52,691.06
26.00,246,693.74,1.00,16.59,0.00,0.09,672.58,730.39
26.00,247,683.25,2.00,16.70,0.00,-0.16,663.48,767.89
26.00,248,672.26,0.00,16.91,0.00,-0.13,611.34,748.57
26.00,249,660.67,1.00,16.59,0.00,0.04,595.09,784.34
26.00,250,652.79,2.00,16.61,0.00,0.09,583.95,815.03
26.00,251,638.65,0.00,16.98,0.00,0.05,529.82,786.45
26.00,252,628.37,1.00,16.59,0.00,0.12,508.42,815.86
26.00,253,622.78,2.00,16.62,0.00,-0.11,496.72,841.57
26.00,254,604.64,0.00,16.76,0.00,0.20,440.27,801.52
26.00,255,595.76,1.00,16.73,0.00,-0.16,415.61,824.33
26.00,256,591.19,2.00,16.78,0.00,-0.16,400.79,846.43
26.00,257,572.19,0.00,16.63,0.00,-0.12,353.98,793.15
26.00,258,562.16,1.00,16.94,0.00,-0.00,321.00,807.90
26.00,259,560.43,2.00,17.10,0.00,-0.01,308.99,828.09
26.00,260,539.23,0.00,16.74,0.00,0.12,271.32,762.39
26.00,261,527.67,1.00,16.86,0.00,0.13,232.07,765.79
26.00,262,526.36,2.00,17.28,0.00,0.04,205.96,775.67
26.00,263,506.17,0.00,16.69,0.00,0.01,199.32,711.17
26.00,264,494.23,1.00,16.87,0.00,-0.09,159.77,703.43
26.00,265,485.98,2.00,17.43,0.00,0.02,126.38,699.06
26.00,266,473.23,0.00,16.79,0.00,0.03,143.19,643.24
26.00,267,460.28,1.00,16.76,0.00,0.06,105.75,623.04
26.00,268,449.91,2.00,17.40,0.00,-0.01,68.03,592.51
26.00,269,439.96,0.00,16.83,0.00,-0.06,106.28,562.28
26.00,270,426.92,1.00,16.72,0.00,-0.00,75.37,532.78
26.00,200,406.83,0.00,16.82,0.00,-0.01,91.80,474.90
26.00,202,406.15,2.00,17.29,0.00,0.06,45.82,461.88
26.00,201,394.39,1.00,16.70,0.00,0.13,69.50,440.14
26.00,203,372.31,0.00,16.82,0.00,0.04,101.41,383.12
26.00,205,366.24,2.00,17.24,0.00,0.07,61.83,354.13
26.00,204,359.76,1.00,16.76,0.00,0.12,89.46,343.28
26.00,206,338.28,0.00,16.45,0.00,0.01,134.74,298.69
26.00,208,334.35,2.00,17.22,0.00,0.03,101.02,265.56
26.00,207,325.36,1.00,16.50,0.00,0.16,134.47,256.19
26.00,209,305.99,0.00,16.22,0.00,0.10,186.13,229.46
26.00,211,301.88,2.00,17.26,0.00,0.13,162.41,188.38
26.00,210,293.00,1.00,16.18,0.00,0.06,196.75,188.18
26.00,212,274.60,0.00,16.07,0.00,-0.13,251.38,176.73
26.00,214,267.43,2.00,17.25,0.00,-0.17,257.52,120.86
26.00,213,261.36,1.00,15.91,0.00,-0.08,272.42,139.06
26.00,215,243.20,0.00,16.09,0.00,0.09,327.68,141.68
26.00,216,230.29,1.00,15.96,0.00,0.06,356.46,110.54
26.00,217,226.43,2.00,17.28,0.00,-0.01,364.15,85.77
26.00,218,211.32,0.00,16.26,0.00,0.01,411.67,126.45
26.00,219,198.63,1.00,16.01,0.00,-0.04,446.63,103.48
26.00,220,193.23,2.00,17.28,0.00,0.07,464.88,81.81
26.00,221,179.56,0.00,16.41,0.00,0.11,496.43,132.68
26.00,222,166.94,1.00,16.27,0.00,-0.04,535.93,119.14
26.00,223,161.40,2.00,16.92,0.00,-0.02,559.04,102.71
26.00,224,147.28,0.00,16.45,0.00,-0.08,578.21,160.48
26.00,225,135.11,1.00,16.46,0.00,-0.10,618.79,156.74
26.00,226,128.08,2.00,16.74,0.00,0.13,658.71,156.18
26.00,227,114.26,0.00,16.56,0.00,-0.03,651.75,209.39
26.00,228,102.47,1.00,16.67,0.00,-0.13,691.22,215.56
26.00,229,88.78,2.00,16.68,0.00,-0.11,734.84,231.55
